,DeepJet;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
25,0,comb,down,4,0.0,2.5,50,70,0,1,0.90894+0.00422186*log(x+19)*log(x+18)*(3-0.460651*log(x+18))-0.016103282570838928
26,0,comb,down,4,0.0,2.5,70,100,0,1,0.90894+0.00422186*log(x+19)*log(x+18)*(3-0.460651*log(x+18))-0.020688159391283989
27,0,comb,down,4,0.0,2.5,100,140,0,1,0.90894+0.00422186*log(x+19)*log(x+18)*(3-0.460651*log(x+18))-0.022079382091760635
28,0,comb,down,4,0.0,2.5,140,200,0,1,0.90894+0.00422186*log(x+19)*log(x+18)*(3-0.460651*log(x+18))-0.020563285797834396
29,0,comb,down,4,0.0,2.5,200,300,0,1,0.90894+0.00422186*log(x+19)*log(x+18)*(3-0.460651*log(x+18))-0.041976355016231537
30,0,comb,down,4,0.0,2.5,300,600,0,1,0.90894+0.00422186*log(x+19)*log(x+18)*(3-0.460651*log(x+18))-0.058744482696056366
31,0,comb,down,4,0.0,2.5,600,1000,0,1,0.90894+0.00422186*log(x+19)*log(x+18)*(3-0.460651*log(x+18))-0.23984633386135101
32,0,comb,down,5,0.0,2.5,20,30,0,1,0.90894+0.00422186*log(x+19)*log(x+18)*(3-0.460651*log(x+18))-0.023307550698518753
33,0,comb,down,5,0.0,2.5,30,50,0,1,0.90894+0.00422186*log(x+19)*log(x+18)*(3-0.460651*log(x+18))-0.0071532656438648701
34,0,comb,down,5,0.0,2.5,50,70,0,1,0.90894+0.00422186*log(x+19)*log(x+18)*(3-0.460651*log(x+18))-0.0064413133077323437
35,0,comb,down,5,0.0,2.5,70,100,0,1,0.90894+0.00422186*log(x+19)*log(x+18)*(3-0.460651*log(x+18))-0.0082752639427781105
36,0,comb,down,5,0.0,2.5,100,140,0,1,0.90894+0.00422186*log(x+19)*log(x+18)*(3-0.460651*log(x+18))-0.0088317524641752243
37,0,comb,down,5,0.0,2.5,140,200,0,1,0.90894+0.00422186*log(x+19)*log(x+18)*(3-0.460651*log(x+18))-0.0082253143191337585
38,0,comb,down,5,0.0,2.5,200,300,0,1,0.90894+0.00422186*log(x+19)*log(x+18)*(3-0.460651*log(x+18))-0.016790542751550674
39,0,comb,down,5,0.0,2.5,300,600,0,1,0.90894+0.00422186*log(x+19)*log(x+18)*(3-0.460651*log(x+18))-0.023497793823480606
40,0,comb,down,5,0.0,2.5,600,1000,0,1,0.90894+0.00422186*log(x+19)*log(x+18)*(3-0.460651*log(x+18))-0.095938533544540405
41,0,comb,down_correlated,4,0.0,2.5,100,140,0,1,0.90894+0.00422186*log(x+19)*log(x+18)*(3-0.460651*log(x+18))-0.0144586219937
42,0,comb,down_correlated,4,0.0,2.5,70,100,0,1,0.90894+0.00422186*log(x+19)*log(x+18)*(3-0.460651*log(x+18))-0.0156879001081
43,0,comb,down_correlated,4,0.0,2.5,200,300,0,1,0.90894+0.00422186*log(x+19)*log(x+18)*(3-0.460651*log(x+18))-0.0303706724518
